Facies,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS
3,A1 SH,CHURCHMAN BIBLE,2917.5,63.5,0.705,4.916,12.174000000000001,3.162,1,1.0
3,A1 SH,CHURCHMAN BIBLE,2918.0,80.875,0.7090000000000001,7.513999999999999,13.286,2.932,1,0.95
3,A1 SH,CHURCHMAN BIBLE,2918.5,87.81299999999999,0.7,7.785,13.212,2.9530000000000003,1,0.9
3,A1 SH,CHURCHMAN BIBLE,2919.0,86.75,0.685,7.547000000000001,13.547,3.42,1,0.85
3,A1 SH,CHURCHMAN BIBLE,2919.5,79.438,0.669,5.912000000000001,12.252,3.324,1,0.8
2,A1 SH,CHURCHMAN BIBLE,2920.0,77.5,0.6579999999999999,4.537,11.332,3.324,1,0.75
2,A1 SH,CHURCHMAN BIBLE,2920.5,72.75,0.6579999999999999,3.9739999999999998,11.114,3.127,1,0.7
2,A1 SH,CHURCHMAN BIBLE,2921.0,76.563,0.6709999999999999,4.98,14.745999999999999,2.818,1,0.65
2,A1 SH,CHURCHMAN BIBLE,2921.5,79.625,0.6859999999999999,4.552,18.202,2.6839999999999997,1,0.6
1,A1 SH,CHURCHMAN BIBLE,2922.0,74.25,0.687,3.6210000000000004,17.961,2.557,1,0.55
1,A1 SH,CHURCHMAN BIBLE,2922.5,71.0,0.679,1.003,14.769,2.787,1,0.5
1,A1 SH,CHURCHMAN BIBLE,2923.0,67.438,0.66,0.746,11.998,2.795,1,0.45
1,A1 SH,CHURCHMAN BIBLE,2923.5,70.0,0.643,1.838,10.809000000000001,2.635,1,0.4
1,A1 SH,CHURCHMAN BIBLE,2924.0,66.438,0.644,2.7439999999999998,11.025,2.6210000000000004,1,0.35
1,A1 SH,CHURCHMAN BIBLE,2924.5,67.25,0.652,2.9219999999999997,11.776,2.59,1,0.3
1,A1 SH,CHURCHMAN BIBLE,2925.0,71.563,0.6609999999999999,3.286,12.485,2.9,1,0.25
1,A1 SH,CHURCHMAN BIBLE,2925.5,70.125,0.68,5.487,13.312000000000001,3.063,1,0.2
3,A1 SH,CHURCHMAN BIBLE,2926.0,69.25,0.7340000000000001,4.784,13.527000000000001,3.01,1,0.1
3,A1 SH,CHURCHMAN BIBLE,2926.5,65.625,0.77,1.439,10.182,3.2769999999999997,1,0.05
8,A1 LM,CHURCHMAN BIBLE,2927.0,53.125,0.826,1.122,4.835,4.008,2,1.0
8,A1 LM,CHURCHMAN BIBLE,2927.5,40.25,0.873,-1.021,5.318,4.52,2,0.9890000000000001
8,A1 LM,CHURCHMAN BIBLE,2928.0,33.625,0.9059999999999999,0.046,4.788,4.375,2,0.978
8,A1 LM,CHURCHMAN BIBLE,2928.5,35.063,0.951,0.086,5.285,3.943,2,0.9670000000000001
8,A1 LM,CHURCHMAN BIBLE,2929.0,35.844,0.99,-0.207,5.676,3.58,2,0.9570000000000001
8,A1 LM,CHURCHMAN BIBLE,2929.5,39.594,1.003,-1.041,6.2170000000000005,3.395,2,0.946
6,A1 LM,CHURCHMAN BIBLE,2930.0,39.969,0.9940000000000001,-1.57,6.599,3.467,2,0.935
6,A1 LM,CHURCHMAN BIBLE,2930.5,40.688,0.9840000000000001,-1.8630000000000002,6.306,3.5469999999999997,2,0.924
6,A1 LM,CHURCHMAN BIBLE,2931.0,39.875,0.9390000000000001,-1.6980000000000002,5.2139999999999995,3.799,2,0.9129999999999999
6,A1 LM,CHURCHMAN BIBLE,2931.5,46.813,0.857,-0.436,4.88,4.273,2,0.902
5,A1 LM,CHURCHMAN BIBLE,2932.0,51.281000000000006,0.809,3.9819999999999998,9.982000000000001,3.3560000000000003,2,0.8909999999999999
5,A1 LM,CHURCHMAN BIBLE,2932.5,67.188,0.7909999999999999,4.184,18.863,2.783,2,0.88
3,A1 LM,CHURCHMAN BIBLE,2933.0,71.563,0.772,3.478,22.156999999999996,2.416,2,0.87
3,A1 LM,CHURCHMAN BIBLE,2933.5,75.375,0.746,-0.136,20.595,2.496,2,0.8590000000000001
4,A1 LM,CHURCHMAN BIBLE,2934.0,75.813,0.733,1.94,19.935,2.969,2,0.848
3,A1 LM,CHURCHMAN BIBLE,2934.5,79.375,0.73,2.966,20.96,2.967,2,0.8370000000000001
3,A1 LM,CHURCHMAN BIBLE,2935.0,79.438,0.7340000000000001,1.4880000000000002,19.02,3.406,2,0.826
8,A1 LM,CHURCHMAN BIBLE,2935.5,64.438,0.762,-3.187,14.808,3.8360000000000003,2,0.815
8,A1 LM,CHURCHMAN BIBLE,2936.0,49.438,0.7979999999999999,-2.171,11.595,4.863,2,0.804
8,A1 LM,CHURCHMAN BIBLE,2936.5,41.031000000000006,0.8170000000000001,0.0,9.082,4.516,2,0.7929999999999999
8,A1 LM,CHURCHMAN BIBLE,2937.0,40.906,0.836,1.127,7.466,4.168,2,0.7829999999999999
8,A1 LM,CHURCHMAN BIBLE,2937.5,43.156000000000006,0.865,1.022,7.132999999999999,3.955,2,0.772
8,A1 LM,CHURCHMAN BIBLE,2938.0,51.343999999999994,0.843,1.2990000000000002,6.952999999999999,3.928,2,0.7609999999999999
8,A1 LM,CHURCHMAN BIBLE,2938.5,56.75,0.78,1.37,7.37,3.9530000000000003,2,0.75
8,A1 LM,CHURCHMAN BIBLE,2939.0,65.5,0.722,2.225,8.225,3.93,2,0.7390000000000001
8,A1 LM,CHURCHMAN BIBLE,2939.5,74.813,0.6609999999999999,3.0380000000000003,9.266,3.5860000000000003,2,0.728
6,A1 LM,CHURCHMAN BIBLE,2940.0,92.18799999999999,0.613,4.283,10.511,3.299,2,0.7170000000000001
6,A1 LM,CHURCHMAN BIBLE,2940.5,104.06299999999999,0.59,4.306,12.247,3.088,2,0.7070000000000001
6,A1 LM,CHURCHMAN BIBLE,2941.0,103.56299999999999,0.58,3.915,12.54,3.2110000000000003,2,0.696
6,A1 LM,CHURCHMAN BIBLE,2941.5,99.18799999999999,0.573,3.866,13.175,3.2319999999999998,2,0.685
6,A1 LM,CHURCHMAN BIBLE,2942.0,90.375,0.595,6.422999999999999,13.792,2.9789999999999996,2,0.6629999999999999
6,A1 LM,CHURCHMAN BIBLE,2942.5,82.06299999999999,0.625,6.8229999999999995,12.367,3.094,2,0.652
4,A1 LM,CHURCHMAN BIBLE,2943.0,79.375,0.677,5.522,10.493,3.1039999999999996,2,0.6409999999999999
4,A1 LM,CHURCHMAN BIBLE,2943.5,76.313,0.7390000000000001,4.471,10.470999999999998,3.2539999999999996,2,0.63
4,A1 LM,CHURCHMAN BIBLE,2944.0,80.063,0.799,4.584,11.040999999999999,3.326,2,0.62
4,A1 LM,CHURCHMAN BIBLE,2944.5,76.063,0.865,4.273,11.302999999999999,3.3930000000000002,2,0.609
