Facies,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS
2,A1 SH,CROSS H CATTLE,2573.5,118.439,0.674493717,6.3,9.95,3.6310000000000002,1,1.0
2,A1 SH,CROSS H CATTLE,2574.0,92.55,0.645225712,9.9,13.05,3.45,1,0.987
2,A1 SH,CROSS H CATTLE,2574.5,102.16799999999999,0.630020851,12.0,14.5,3.364,1,0.9740000000000001
2,A1 SH,CROSS H CATTLE,2575.0,88.898,0.60031933,15.1,16.05,3.187,1,0.961
2,A1 SH,CROSS H CATTLE,2575.5,85.493,0.57863921,13.6,15.9,3.0989999999999998,1,0.9470000000000001
2,A1 SH,CROSS H CATTLE,2576.0,82.802,0.5699588179999999,13.0,14.9,3.069,1,0.934
2,A1 SH,CROSS H CATTLE,2576.5,84.257,0.576456532,12.7,14.35,3.077,1,0.9209999999999999
2,A1 SH,CROSS H CATTLE,2577.0,85.34899999999999,0.592731766,12.8,14.7,3.1010000000000004,1,0.9079999999999999
2,A1 SH,CROSS H CATTLE,2577.5,84.31700000000001,0.6106601629999999,13.5,15.15,3.0780000000000003,1,0.895
2,A1 SH,CROSS H CATTLE,2578.0,83.495,0.6237659999999999,13.4,15.1,3.062,1,0.882
2,A1 SH,CROSS H CATTLE,2578.5,83.696,0.630427875,12.7,14.75,3.074,1,0.868
2,A1 SH,CROSS H CATTLE,2579.0,82.766,0.631342286,12.6,14.4,3.114,1,0.855
2,A1 SH,CROSS H CATTLE,2579.5,85.311,0.629817196,12.3,13.95,3.133,1,0.8420000000000001
2,A1 SH,CROSS H CATTLE,2580.0,87.29700000000001,0.627365857,12.1,13.65,3.136,1,0.8290000000000001
2,A1 SH,CROSS H CATTLE,2580.5,85.494,0.622317661,11.6,13.3,3.173,1,0.816
2,A1 SH,CROSS H CATTLE,2581.0,82.90700000000001,0.613841822,11.3,13.05,3.179,1,0.8029999999999999
2,A1 SH,CROSS H CATTLE,2581.5,84.398,0.602819342,10.3,12.75,3.1210000000000004,1,0.789
2,A1 SH,CROSS H CATTLE,2582.0,81.723,0.592176757,9.2,12.6,3.077,1,0.7759999999999999
2,A1 SH,CROSS H CATTLE,2582.5,83.501,0.5835388189999999,8.0,12.3,3.0580000000000003,1,0.763
2,A1 SH,CROSS H CATTLE,2583.0,88.667,0.575072326,7.6,12.3,3.0669999999999997,1,0.75
2,A1 SH,CROSS H CATTLE,2583.5,93.12899999999999,0.562887381,8.0,12.8,3.105,1,0.737
2,A1 SH,CROSS H CATTLE,2584.0,90.255,0.542202782,8.8,13.4,3.127,1,0.7240000000000001
2,A1 SH,CROSS H CATTLE,2584.5,87.152,0.510276844,9.6,13.8,3.154,1,0.711
1,A1 SH,CROSS H CATTLE,2585.0,76.105,0.469085299,9.5,13.55,3.2110000000000003,1,0.6970000000000001
1,A1 SH,CROSS H CATTLE,2585.5,68.911,0.419460073,9.0,12.9,3.281,1,0.684
1,A1 SH,CROSS H CATTLE,2586.0,60.968,0.366982976,9.1,12.25,3.2510000000000003,1,0.6709999999999999
1,A1 SH,CROSS H CATTLE,2586.5,58.121,0.314709693,9.6,11.8,3.167,1,0.6579999999999999
1,A1 SH,CROSS H CATTLE,2587.0,58.57,0.260548373,9.2,12.3,3.159,1,0.645
1,A1 SH,CROSS H CATTLE,2587.5,57.287,0.21192108399999998,8.4,13.0,3.1189999999999998,1,0.632
1,A1 SH,CROSS H CATTLE,2588.0,60.771,0.17231096899999998,7.5,14.25,3.022,1,0.618
1,A1 SH,CROSS H CATTLE,2588.5,64.14699999999999,0.1430148,6.7,15.75,2.928,1,0.605
1,A1 SH,CROSS H CATTLE,2589.0,61.211000000000006,0.12352498099999999,5.5,16.95,2.892,1,0.5920000000000001
1,A1 SH,CROSS H CATTLE,2589.5,63.105,0.111262514,4.2,17.8,2.892,1,0.579
1,A1 SH,CROSS H CATTLE,2590.0,54.482,0.09933527800000001,3.6,17.2,2.895,1,0.5529999999999999
1,A1 SH,CROSS H CATTLE,2590.5,57.7,0.095866453,4.4,16.6,2.886,1,0.539
1,A1 SH,CROSS H CATTLE,2591.0,62.74,0.091666958,5.0,16.7,2.8810000000000002,1,0.526
1,A1 SH,CROSS H CATTLE,2591.5,61.915,0.08421868699999999,4.9,17.35,2.838,1,0.513
