Facies,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS
3,A1 SH,NEWBY,2826.0,76.34,0.7190000000000001,7.8,11.0,3.7,1,1.0
3,A1 SH,NEWBY,2826.5,83.74,0.688,9.7,12.55,3.4,1,0.977
3,A1 SH,NEWBY,2827.0,83.19,0.664,10.1,11.95,3.4,1,0.953
3,A1 SH,NEWBY,2827.5,80.44,0.648,10.1,11.15,3.4,1,0.93
3,A1 SH,NEWBY,2828.0,75.42,0.648,9.3,11.45,3.3,1,0.907
3,A1 SH,NEWBY,2828.5,71.5,0.6629999999999999,9.2,11.6,3.3,1,0.884
3,A1 SH,NEWBY,2829.0,69.63,0.685,8.7,11.35,3.3,1,0.86
3,A1 SH,NEWBY,2829.5,70.01,0.705,8.6,11.1,3.4,1,0.8370000000000001
3,A1 SH,NEWBY,2830.0,67.56,0.7170000000000001,8.6,10.8,3.4,1,0.8140000000000001
3,A1 SH,NEWBY,2830.5,67.33,0.7190000000000001,7.3,10.75,3.4,1,0.7909999999999999
3,A1 SH,NEWBY,2831.0,64.77,0.718,6.3,10.45,3.3,1,0.767
3,A1 SH,NEWBY,2831.5,64.8,0.715,5.7,10.05,3.4,1,0.7440000000000001
2,A1 SH,NEWBY,2832.0,66.25,0.716,4.9,10.45,3.5,1,0.721
2,A1 SH,NEWBY,2832.5,66.55,0.7190000000000001,6.4,10.4,3.5,1,0.698
2,A1 SH,NEWBY,2833.0,66.13,0.723,7.9,9.85,3.5,1,0.674
2,A1 SH,NEWBY,2833.5,65.54,0.723,8.1,8.65,3.5,1,0.6509999999999999
2,A1 SH,NEWBY,2834.0,63.07,0.721,5.5,7.75,3.5,1,0.628
2,A1 SH,NEWBY,2834.5,59.71,0.72,3.7,7.05,3.4,1,0.605
2,A1 SH,NEWBY,2835.0,57.86,0.721,2.2,7.1,3.3,1,0.581
2,A1 SH,NEWBY,2835.5,54.8,0.723,1.0,7.4,3.3,1,0.5579999999999999
2,A1 SH,NEWBY,2836.0,51.8,0.722,0.6,7.5,3.3,1,0.535
2,A1 SH,NEWBY,2836.5,52.62,0.7170000000000001,1.3,7.45,3.3,1,0.512
2,A1 SH,NEWBY,2837.0,53.66,0.706,1.5,7.85,3.4,1,0.488
2,A1 SH,NEWBY,2837.5,55.79,0.688,2.1,8.25,3.3,1,0.465
2,A1 SH,NEWBY,2838.0,58.54,0.6659999999999999,2.1,8.85,3.2,1,0.442
2,A1 SH,NEWBY,2838.5,60.95,0.639,2.1,9.65,3.3,1,0.419
2,A1 SH,NEWBY,2839.0,66.56,0.613,3.7,10.65,3.3,1,0.395
2,A1 SH,NEWBY,2839.5,70.88,0.589,5.6,11.4,3.2,1,0.37200000000000005
2,A1 SH,NEWBY,2840.0,71.57,0.5710000000000001,6.3,12.45,3.1,1,0.349
3,A1 SH,NEWBY,2840.5,72.53,0.555,6.3,13.45,3.2,1,0.326
3,A1 SH,NEWBY,2841.0,67.99,0.542,6.1,14.35,3.1,1,0.302
2,A1 SH,NEWBY,2841.5,60.31,0.525,5.0,14.1,3.2,1,0.27899999999999997
2,A1 SH,NEWBY,2842.0,55.52,0.504,6.3,11.55,3.2,1,0.256
2,A1 SH,NEWBY,2842.5,56.07,0.486,5.0,11.0,3.2,1,0.233
2,A1 SH,NEWBY,2843.0,62.67,0.473,-2.6,15.8,3.2,1,0.209
2,A1 SH,NEWBY,2843.5,66.9,0.47100000000000003,-2.2,21.4,3.2,1,0.18600000000000003
2,A1 SH,NEWBY,2844.0,68.54,0.47700000000000004,3.1,24.25,3.2,1,0.163
2,A1 SH,NEWBY,2844.5,68.7,0.483,3.3,22.85,3.2,1,0.14
5,A1 SH,NEWBY,2845.0,63.2,0.489,9.5,17.25,3.4,2,0.11599999999999999
5,A1 SH,NEWBY,2845.5,60.33,0.493,11.6,15.6,3.7,2,0.09300000000000001
5,A1 SH,NEWBY,2846.0,58.16,0.491,12.7,14.35,3.8,2,0.07
5,A1 SH,NEWBY,2846.5,52.61,0.48100000000000004,9.9,11.45,3.9,2,0.047
3,A1 SH,NEWBY,2847.0,45.72,0.46399999999999997,5.2,8.8,3.9,1,0.023
6,A1 LM,NEWBY,2847.5,35.92,0.441,4.5,7.95,4.0,2,1.0
6,A1 LM,NEWBY,2848.0,26.62,0.42200000000000004,3.6,10.7,4.3,2,0.988
7,A1 LM,NEWBY,2848.5,24.14,0.39799999999999996,5.9,12.55,4.0,2,0.976
7,A1 LM,NEWBY,2849.0,24.36,0.375,6.5,12.95,3.9,2,0.963
7,A1 LM,NEWBY,2849.5,23.28,0.35,6.5,11.85,4.1,2,0.951
7,A1 LM,NEWBY,2850.0,25.7,0.33399999999999996,7.7,10.95,4.1,2,0.9390000000000001
7,A1 LM,NEWBY,2850.5,28.2,0.336,8.2,11.2,3.7,2,0.927
7,A1 LM,NEWBY,2851.0,28.35,0.35200000000000004,8.8,12.1,3.7,2,0.915
7,A1 LM,NEWBY,2851.5,31.71,0.377,9.0,12.8,3.6,2,0.902
7,A1 LM,NEWBY,2852.0,35.52,0.405,9.1,12.75,3.3,2,0.89
7,A1 LM,NEWBY,2852.5,39.11,0.431,9.3,12.55,3.2,2,0.878
5,A1 LM,NEWBY,2853.0,44.57,0.45799999999999996,10.4,12.4,3.2,2,0.866
5,A1 LM,NEWBY,2853.5,54.42,0.49,11.1,12.35,3.1,2,0.8540000000000001
5,A1 LM,NEWBY,2854.0,61.72,0.53,10.9,13.15,3.1,2,0.841
5,A1 LM,NEWBY,2854.5,66.81,0.5770000000000001,11.9,13.55,3.1,2,0.8290000000000001
4,A1 LM,NEWBY,2855.0,74.17,0.628,11.8,13.5,3.2,2,0.8170000000000001
4,A1 LM,NEWBY,2855.5,82.18,0.679,9.2,12.5,3.5,2,0.805
4,A1 LM,NEWBY,2856.0,85.67,0.725,5.8,9.4,3.6,2,0.7929999999999999
4,A1 LM,NEWBY,2856.5,87.06,0.7609999999999999,1.6,6.3,3.8,2,0.78
4,A1 LM,NEWBY,2857.0,84.2,0.792,-1.2,4.6,3.8,2,0.768
8,A1 LM,NEWBY,2857.5,83.45,0.823,-1.9,4.35,3.9,2,0.7559999999999999
8,A1 LM,NEWBY,2858.0,90.42,0.86,-1.3,5.75,3.9,2,0.7440000000000001
6,A1 LM,NEWBY,2858.5,100.83,0.898,1.7,7.65,3.8,2,0.732
4,A1 LM,NEWBY,2859.0,108.34,0.93,4.9,9.65,3.9,2,0.72
4,A1 LM,NEWBY,2859.5,107.75,0.946,6.5,9.85,3.9,2,0.7070000000000001
4,A1 LM,NEWBY,2860.0,92.63,0.945,5.3,8.55,3.8,2,0.695
4,A1 LM,NEWBY,2860.5,70.46,0.935,1.9,6.25,3.7,2,0.6829999999999999
8,A1 LM,NEWBY,2861.0,55.67,0.924,-0.5,4.65,3.7,2,0.6709999999999999
8,A1 LM,NEWBY,2861.5,49.35,0.919,-1.2,4.1,3.6,2,0.659
8,A1 LM,NEWBY,2862.0,46.82,0.9179999999999999,-1.0,4.8,3.6,2,0.6459999999999999
8,A1 LM,NEWBY,2862.5,48.11,0.91,-0.1,6.65,3.8,2,0.634
5,A1 LM,NEWBY,2863.0,51.66,0.8859999999999999,1.5,8.65,3.7,2,0.622
5,A1 LM,NEWBY,2863.5,49.73,0.847,3.2,10.1,3.6,2,0.61
5,A1 LM,NEWBY,2864.0,51.46,0.8009999999999999,4.1,11.25,3.6,2,0.598
4,A1 LM,NEWBY,2864.5,54.67,0.757,5.0,12.1,3.6,2,0.585
4,A1 LM,NEWBY,2865.0,56.96,0.721,5.2,12.4,3.6,2,0.573
4,A1 LM,NEWBY,2865.5,58.67,0.693,6.2,12.7,3.6,2,0.561
4,A1 LM,NEWBY,2866.0,61.19,0.675,6.6,12.9,3.6,2,0.5489999999999999
4,A1 LM,NEWBY,2866.5,60.77,0.6659999999999999,6.7,13.25,3.7,2,0.537
4,A1 LM,NEWBY,2867.0,60.99,0.6609999999999999,6.2,13.5,3.7,2,0.524
4,A1 LM,NEWBY,2867.5,63.65,0.6579999999999999,6.1,13.75,3.6,2,0.512
4,A1 LM,NEWBY,2868.0,66.98,0.654,6.0,13.8,3.5,2,0.5
4,A1 LM,NEWBY,2868.5,68.44,0.6459999999999999,5.5,14.35,3.5,2,0.488
4,A1 LM,NEWBY,2869.0,71.39,0.638,5.0,14.8,3.4,2,0.47600000000000003
4,A1 LM,NEWBY,2869.5,73.08,0.63,5.2,14.5,3.3,2,0.46299999999999997
4,A1 LM,NEWBY,2870.0,71.86,0.624,4.9,14.75,3.3,2,0.451
4,A1 LM,NEWBY,2870.5,71.83,0.623,5.2,14.9,3.3,2,0.439
4,A1 LM,NEWBY,2871.0,70.27,0.624,5.8,15.1,3.3,2,0.42700000000000005
4,A1 LM,NEWBY,2871.5,69.65,0.626,6.2,14.8,3.4,2,0.415
4,A1 LM,NEWBY,2872.0,66.78,0.631,5.7,14.15,3.5,2,0.402
4,A1 LM,NEWBY,2872.5,64.06,0.638,5.9,12.95,3.5,2,0.39
4,A1 LM,NEWBY,2873.0,60.24,0.6509999999999999,5.1,11.65,3.5,2,0.37799999999999995
4,A1 LM,NEWBY,2873.5,58.25,0.667,4.2,11.4,3.4,2,0.366
6,A1 LM,NEWBY,2874.0,56.79,0.687,3.5,10.95,3.4,2,0.354
6,A1 LM,NEWBY,2874.5,58.0,0.703,1.8,10.5,3.3,2,0.341
6,A1 LM,NEWBY,2875.0,60.75,0.71,0.8,10.6,3.3,2,0.32899999999999996
4,A1 LM,NEWBY,2875.5,64.48,0.7070000000000001,2.5,10.45,3.4,2,0.317
4,A1 LM,NEWBY,2876.0,65.37,0.693,4.1,10.25,3.5,2,0.305
4,A1 LM,NEWBY,2876.5,65.84,0.672,3.2,10.8,3.4,2,0.293
4,A1 LM,NEWBY,2877.0,67.38,0.65,2.7,11.45,3.3,2,0.28
4,A1 LM,NEWBY,2877.5,67.07,0.626,3.0,12.0,3.2,2,0.268
4,A1 LM,NEWBY,2878.0,65.28,0.603,3.6,12.8,3.0,2,0.256
4,A1 LM,NEWBY,2878.5,65.26,0.58,3.3,13.75,2.9,2,0.244
4,A1 LM,NEWBY,2879.0,63.4,0.5589999999999999,3.1,13.85,2.9,2,0.23199999999999998
4,A1 LM,NEWBY,2879.5,64.1,0.544,3.0,13.9,2.8,2,0.22
4,A1 LM,NEWBY,2880.0,66.77,0.542,2.7,14.45,2.8,2,0.207
4,A1 LM,NEWBY,2880.5,69.72,0.5539999999999999,3.2,14.8,2.9,2,0.195
4,A1 LM,NEWBY,2881.0,71.0,0.58,4.4,15.2,3.1,2,0.183
4,A1 LM,NEWBY,2881.5,69.77,0.617,5.9,14.65,3.3,2,0.171
4,A1 LM,NEWBY,2882.0,64.39,0.665,5.5,12.45,3.6,2,0.159
4,A1 LM,NEWBY,2882.5,60.94,0.721,4.9,9.45,4.0,2,0.146
4,A1 LM,NEWBY,2883.0,56.89,0.785,3.4,7.1,4.3,2,0.134
6,A1 LM,NEWBY,2883.5,54.2,0.856,2.7,5.45,4.5,2,0.122
6,A1 LM,NEWBY,2884.0,53.14,0.9229999999999999,1.3,4.35,4.5,2,0.11
6,A1 LM,NEWBY,2884.5,52.7,0.961,0.9,3.45,4.3,2,0.098
6,A1 LM,NEWBY,2885.0,51.93,0.946,0.7,3.65,4.1,2,0.085
8,A1 LM,NEWBY,2885.5,56.1,0.887,1.1,4.55,4.0,2,0.073
8,A1 LM,NEWBY,2886.0,61.49,0.805,2.5,5.95,3.7,2,0.061
5,A1 LM,NEWBY,2886.5,68.77,0.725,3.8,8.1,3.4,2,0.049
5,A1 LM,NEWBY,2887.0,78.57,0.6579999999999999,-0.6,14.2,3.2,2,0.037000000000000005
5,A1 LM,NEWBY,2887.5,85.47,0.61,-2.5,21.35,3.0,2,0.024
5,A1 LM,NEWBY,2888.0,88.63,0.583,-0.6,28.2,3.0,2,0.012
2,B1 SH,NEWBY,2888.5,88.97,0.569,-0.1,31.65,2.9,1,1.0
3,B1 SH,NEWBY,2889.0,84.66,0.5670000000000001,0.2,30.2,3.1,1,0.968
3,B1 SH,NEWBY,2889.5,76.48,0.574,0.8,24.4,3.4,1,0.935
3,B1 SH,NEWBY,2890.0,69.35,0.595,-0.7,18.45,3.5,1,0.903
3,B1 SH,NEWBY,2890.5,63.07,0.63,7.7,10.55,3.9,1,0.871
3,B1 SH,NEWBY,2891.0,59.01,0.675,7.8,9.3,4.0,1,0.8390000000000001
3,B1 SH,NEWBY,2891.5,59.94,0.7190000000000001,8.8,8.0,4.1,1,0.8059999999999999
3,B1 SH,NEWBY,2892.0,61.89,0.75,6.5,9.45,4.0,1,0.774
3,B1 SH,NEWBY,2892.5,63.84,0.763,6.0,10.1,3.8,1,0.742
3,B1 SH,NEWBY,2893.0,65.13,0.76,6.8,10.7,3.8,1,0.71
3,B1 SH,NEWBY,2893.5,65.86,0.745,6.8,11.2,3.7,1,0.677
3,B1 SH,NEWBY,2894.0,64.98,0.728,7.3,11.25,3.7,1,0.645
